Key,en,es,ar,fr
"Your password has been reset Successfully, Sign in again now.","Your password has been reset Successfully, Sign in again now.","Su contraseña se ha restablecido correctamente, inicie sesión nuevamente ahora.",تمت إعادة تعيين كلمة المرور الخاصة بك بنجاح ، وقم بتسجيل الدخول مرة أخرى الآن.,"Votre mot de passe a été réinitialisé avec succès, connectez-vous à nouveau maintenant."
Okay,Okay,Bueno,تمام,D'accord
Please fill out the field,Please fill out the field,Por favor complete el campo,يرجى ملء الحقل,Veuillez remplir le terrain
Your account has been create Successfully. Welcome to AdBot Pro.,Your account has been create Successfully. Welcome to AdBot Pro.,Su cuenta ha sido creada con éxito. Bienvenido a Adbot Pro.,تم إنشاء حسابك بنجاح. مرحبًا بك في Adbot Pro.,Votre compte a été créé avec succès. Bienvenue à Adbot Pro.
Chat With AdBot Pro.,Chat With AdBot Pro.,Chatear con Adbot Pro.,الدردشة مع Adbot Pro.,Discutez avec Adbot Pro.
Chatting with AdBot Pro can be a fun and interactive way to explore language and learn new things.,Chatting with AdBot Pro can be a fun and interactive way to explore language and learn new things.,Chatear con Adbot Pro puede ser una forma divertida e interactiva de explorar el lenguaje y aprender cosas nuevas.,يمكن أن تكون الدردشة مع Adbot Pro طريقة ممتعة وتفاعلية لاستكشاف اللغة وتعلم أشياء جديدة.,Discuter avec Adbot Pro peut être un moyen amusant et interactif d'explorer la langue et d'apprendre de nouvelles choses.
Image generation in AI refers to the process of creating new images using artificial intelligence algorithms.,Image generation in AI refers to the process of creating new images using artificial intelligence algorithms.,La generación de imágenes en IA se refiere al proceso de crear nuevas imágenes utilizando algoritmos de inteligencia artificial.,يشير توليد الصور في الذكاء الاصطناعي إلى عملية إنشاء صور جديدة باستخدام خوارزميات الذكاء الاصطناعي.,La génération d'images dans l'IA fait référence au processus de création de nouvelles images à l'aide d'algorithmes d'intelligence artificielle.
Subscription Plan,Subscription Plan,Plan de suscripción,خطة الاشتراك,Plan d'abonnement
Free Subscription,Free Subscription,Suscripción gratuita,اشتراك مجاني,Abonnement gratuit
24 Hours Support,24 Hours Support,Soporte de 24 horas,24 ساعة دعم,Assistance 24 heures sur 24
No Ads,No Ads,Sin anuncios,لا اعلانات,Pas de pubs
Ads Free,Ads Free,Anuncios gratis,إعلانات مجانية,Annonces gratuites
Your Subscription will be expired on,Your Subscription will be expired on,Su suscripción será expirada en,سيتم انتهاء صلاحية اشتراكك,Votre abonnement sera expiré sur
Premium Subscription,Premium Subscription,Suscripción premium,اشتراك قسط,Abonnement premium
Billing Details,Billing Details,Detalles de facturación,تفاصيل الفاتورة,Détails de la facturation
Select Payment Method,Select Payment Method,Seleccionar método de pago,اختار طريقة الدفع,Sélectionnez le mode de paiement
Pay Now,Pay Now,Pagar ahora,ادفع الآن,Payez maintenant
Refresh,Refresh,Actualizar,ينعش,Rafraîchir
FOR Label,FOR,PARA,ل,POUR
days,days,días,أيام,jours
Share Chat,Share Chat,Compartir chat,شارك الدردشة,Partager la conversation
Clear Conversation,Clear Conversation,Conversación clara,محادثة واضحة,Conversation claire
Clear Recent,Clear Recent,Claro reciente,واضح الأخيرة,Clair récent
Search Images,Search Images,Búsqueda de imágenes,البحث عن الصور,Rechercher des images
Profile,Profile,Perfil,حساب تعريفي,Profil
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور,Changer le mot de passe
About Us,About Us,Sobre nosotros,معلومات عنا,À propos de nous
Sign Out,Sign Out,Desconectar,خروج,Se déconnecter
Update Profile,Update Profile,Actualización del perfil,تحديث الملف,Mettre à jour le profil
Old Password,Old Password,Contraseña anterior,كلمة المرور القديمة,ancien mot de passe
Please Verify Your Email To Login,Please Verify Your Email To Login,Verifique su correo electrónico para iniciar sesión,يرجى التحقق من بريدك الإلكتروني لتسجيل الدخول,Veuillez vérifier votre e-mail pour vous connecter
Please Verify Your SMS To Login,Please Verify Your SMS To Login,Verifique que su SMS inicie sesión,يرجى التحقق من الرسائل القصيرة لتسجيل الدخول,Veuillez vérifier vos SMS pour vous connecter
Please accept terms and condition,Please accept terms and condition,Acepte los términos y la condición,يرجى قبول الشروط والشرط,Veuillez accepter les termes et conditions
Remaining,Remaining,Restante,متبقي,Restant
Chat,Chat,Charlar,محادثة,Chat
Image,Image,Imagen,صورة,Image
Stripe Payment,Stripe Payment,Pago de rayas,دفع الشريط,Paiement
Card Number,Card Number,Número de tarjeta,رقم البطاقة,Numéro de carte
Full Name,Full Name,Nombre completo,الاسم الكامل,Nom et prénom
Manual Payment,Manual Payment,Pago manual,الدفع اليدوي,Paiement manuel
Card Holder,Card Holder,Titular de la tarjeta,حامل البطاقة,Titulaire de la carte
VALID THRU,VALID THRU,Válido,صالح من خلال,VALIDE JUSQU'AU
Write Something,Write Something,Escribe algo,أكتب شيئا,Écris quelque chose
Search Something,Search Something,Buscar algo,ابحث عن شيء ما,Rechercher quelque chose
No Expiration,No Expiration,Sin caducidad,لا انتهاء الصلاحية,Pas d'expiration
With Ads,With Ads,Con anuncios,مع الإعلانات,Avec des publicités
Unlimited,Unlimited,Ilimitado,غير محدود,Illimité
Current Plan,Current Plan,Plan actual,الخطة الحالية,Plan actuel
You Are Already Using Free Package,You Are Already Using Free Package,Ya estás usando un paquete gratis,أنت تستخدم بالفعل حزمة مجانية,Vous utilisez déjà un package gratuit
Do You Want To Delete Your Account ?,Do You Want To Delete Your Account ?,¿Quieres eliminar tu cuenta?,هل تريد حذف حسابك؟,Voulez-vous supprimer votre compte?
"OH No!!, No Conversation yet","OH No!!, No Conversation yet",¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡Ivy ¿,أوه لا !! ، لا محادثة بعد,"Oh non !!, pas encore de conversation"
"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old.","Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old.","Contrariamente a la creencia popular, Lorem Ipsum no es simplemente un texto aleatorio. Tiene raíces en una pieza de literatura latina clásica de 45 a. C., lo que lo convierte en más de 2000 años.",على عكس الاعتقاد الشائع ، فإن Lorem ipsum ليس مجرد نص عشوائي. لديها جذور في قطعة من الأدب اللاتيني الكلاسيكي من 45 قبل الميلاد ، مما يجعلها أكثر من 2000 عام.,"Contrairement à la croyance populaire, Lorem Ipsum n'est pas simplement un texte aléatoire. Il a des racines dans un morceau de littérature latine classique de 45 avant JC, ce qui en fait plus de 2000 ans."
Success,Success,Éxito,نجاح,Succès
Alert,Alert,Alerta,يُحذًِر,Alerte
Paypal Payment,PayPal,Paypal,PayPal,Pay Pal
Type your message here...,Type your message here...,Escribe tu mensaje aquí...,اكتب رسالتك هنا...,Tapez votre message ici...
Home,Home,Hogar,بيت,Maison
About,About,Acerca de,عن,À propos
Services,Services,Servicios,خدمات,Prestations de service
Blogs,Blogs,Blogs,المدونات,Blogs
Contact,Contact,Contacto,اتصال,Contact
"We may use cookies or any other tracking technologies when you visit our website, including any other media form, mobile website, or mobile application related or connected to help customize the Site and improve your experience","We may use cookies or any other tracking technologies when you visit our website, including any other media form, mobile website, or mobile application related or connected to help customize the Site and improve your experience","Podemos usar cookies o cualquier otra tecnología de seguimiento cuando visite nuestro sitio web, incluido cualquier otro formulario de medios, sitio web móvil o aplicaciones móviles relacionadas o conectadas para ayudar a personalizar el sitio y mejorar su experiencia.",قد نستخدم ملفات تعريف الارتباط أو أي تقنيات تتبع أخرى عند زيارة موقعنا على الويب ، بما في ذلك أي نموذج وسائط آخر أو موقع ويب للهاتف المحمول أو تطبيقات الهاتف المحمول أو متصل بالمساعدة في تخصيص الموقع وتحسين تجربتك,"Nous pouvons utiliser des cookies ou toute autre technologie de suivi lorsque vous visitez notre site Web, y compris tout autre formulaire de média, site Web mobile ou application mobile liée ou connecté pour vous aider à personnaliser le site et à améliorer votre expérience"
Login Information,Login Information,Información Entrar,معلومات تسجيل الدخول,Informations de connexion
Login Now,Login Now,Inicia sesión ahora,تسجيل الدخول الآن,Connecte-toi maintenant
Register Information,Register Information,Registrar información,تسجيل المعلومات,Enregistrer les informations
Please input your details and register to your account to get access to your dashboard.,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su tablero.,يرجى إدخال التفاصيل الخاصة بك والتسجيل في حسابك للوصول إلى لوحة القيادة الخاصة بك.,Veuillez saisir vos coordonnées et vous inscrire sur votre compte pour accéder à votre tableau de bord.
Register Now,Register Now,Regístrate ahora,سجل الان,S'inscrire maintenant
Already Have An Account?,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب؟,Vous avez déjà un compte?
Email,Email,Correo electrónico,بريد إلكتروني,E-mail
Enter your email and we'll send you a otp to reset your password.,Enter your email and we'll send you a otp to reset your password.,Ingrese su correo electrónico y le enviaremos un OTP para restablecer su contraseña.,أدخل بريدك الإلكتروني وسنرسل لك OTP لإعادة تعيين كلمة المرور الخاصة بك.,Entrez votre e-mail et nous vous enverrons un OTP pour réinitialiser votre mot de passe.
Send OTP,Send OTP,Enviar OTP,إرسال OTP,Envoyer OTP
Please enter the code,Please enter the code,Ingrese el código,الرجاء إدخال الرمز,Veuillez saisir le code
Please check your email address to get the OTP (One time password).,Please check your email address to get the OTP (One time password).,Verifique su dirección de correo electrónico para obtener el OTP (contraseña única).,يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة مرور لمرة واحدة).,Veuillez vérifier votre adresse e-mail pour obtenir l'OTP (mot de passe une fois).
Verify,Verify,Verificar,يؤكد,Vérifier
You can resend the code after,You can resend the code after,Puede reenviar el código después,يمكنك إعادة تقديم الرمز بعد,Vous pouvez renvoyer le code après
Enter Password,Enter Password,Introducir la contraseña,أدخل كلمة المرور,Entrer le mot de passe
Enter Confirm Password,Enter Confirm Password,Ingrese Confirmar contraseña,أدخل تأكيد كلمة المرور,Entrez le mot de passe Confirmer
Reset,Reset,Reiniciar,إعادة ضبط,Réinitialiser
Account Authorization,Account Authorization,Autorización de cuenta,ترخيص الحساب,Autorisation de compte
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,Necesita verificar su cuenta. Consulte su bandeja de entrada de correo para obtener el código de autorización,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الخاص بك للحصول على رمز التفويض,Besoin de vérifier votre compte. Veuillez cocher votre boîte de réception de messagerie pour obtenir le code d'autorisation
Add Money,Add Money,Agregar dinero,إضافة المال,Ajouter de l'argent
My Card,My Card,Mi tarjeta,بطاقتي,Ma carte
My Profile,My Profile,Mi perfil,ملفي,Mon profil
Logout,Logout,Cerrar sesión,تسجيل خروج,Se déconnecter
Get Support,Get Support,Obtener apoyo,احصل على الدعم,Obtenir de l'aide
Need Help?,Need Help?,¿Necesitas ayuda?,تحتاج مساعدة؟,Besoin d'aide?
Please check our docs,Please check our docs,Por favor revise nuestros documentos,يرجى التحقق من مستنداتنا,Veuillez vérifier nos documents
Welcome Back,Welcome Back,Bienvenido de nuevo,مرحبًا بعودتك,Content de te revoir
Current Balance,Current Balance,Saldo actual,الرصيد الحالي,Solde actuel
Total Add Money,Total Add Money,Total Agregar dinero,إجمالي إضافة المال,Total Ajouter de l'argent
Active Tickets,Active Tickets,Boletos activos,تذاكر نشطة,Billets actifs
Active Card,Active Card,Tarjeta activa,بطاقة نشطة,Carte active
Latest Transactions,Latest Transactions,Últimas transacciones,أحدث المعاملات,Dernières transactions
View More,View More,Ver más,عرض المزيد,Voir plus
Country,Country,País,دولة,Pays
Select Country,Select Country,Seleccionar país,حدد الدولة,Choisissez le pays
Enter Phone,Enter Phone,Ingrese el teléfono,أدخل الهاتف,Entrer le téléphone
Phone,Phone,Teléfono,هاتف,Téléphone
Address,Address,DIRECCIÓN,عنوان,Adresse
Update,Update,Actualizar,تحديث,Mise à jour
Enter Address,Enter Address,Ingresa la direccion,أدخل العنوان,Entrer l'adresse
Zip Code,Zip Code,Código postal,الرمز البريدي,Code postal
Enter Zip Code,Enter Zip Code,Ingresa tu código postal,أدخل الرمز البريدي,Entrer le code postal
State,State,Estado,ولاية,État
Enter State,Enter State,Ingrese el estado,إدخال الدولة,Entrer l'état
Enter City,Enter City,Entrar en la ciudad,أدخل المدينة,Entrer dans la ville
City,City,Ciudad,مدينة,Ville
Current Password,Current Password,Contraseña actual,كلمة السر الحالية,Mot de passe actuel
Enter Current Password,Enter Current Password,Introducir la contraseña actual,إدخل كلمة السر الحالية,Entrer le mot de passe actuel
Enter Confirmed Password,Enter Confirmed Password,Ingrese la contraseña confirmada,أدخل كلمة المرور المؤكدة,Entrez le mot de passe confirmé
Change,Change,Cambiar,يتغير,Changement
Transaction Log,Transaction Log,Registro de transacciones,سجل المعاملات,Journal des transactions
Transactions,Transactions,Actas,المعاملات,Transactions
Virtual Card,Virtual Card,Tarjeta virtual,بطاقة افتراضية,Carte virtuelle
Create A New Card,Create A New Card,Crea una nueva tarjeta,إنشاء بطاقة جديدة,Créer une nouvelle carte
Fund,Fund,Fondo,تمويل,Fonds
Withdrow,Withdrow,Retirar,انسحب,Retiré
Details,Details,Detalles,تفاصيل,Détails
Recent Transaction,Recent Transaction,Transacción reciente,المعاملة الأخيرة,Transaction récente
Card Balance,Card Balance,Balance de tarjeta,رصيد البطاقة,Solde de la carte
Card Amount,Card Amount,Monto de la tarjeta,مبلغ البطاقة,Montant de la carte
Enter Amount,Enter Amount,Ingresar la cantidad,أدخل المبلغ,Entrer le montant
Total Charge,Total Charge,Carga total,القيمة الاجمالية,Charge totale
Total Pay,Total Pay,Pago total,إجمالي الأجور,Salaire total
Balance,Balance,Balance,توازن,Équilibre
Confirm,Confirm,Confirmar,يتأكد,Confirmer
Fund Card,Fund Card,Tarjeta de fondo,بطاقة التمويل,Carte de fonds
Fund Amount,Fund Amount,Monto del fondo,مبلغ الصناديق,Montant du fonds
Withdraw Amount,Withdraw Amount,Monto de retiro,سحب المبلغ,Retirer le montant
Amount,Amount,Cantidad,كمية,Montant
Will Get,Will Get,Obtendrá,سوف تحصل,Aura
Virtual Card Transaction,Virtual Card Transaction,Transacción de tarjeta virtual,معاملة البطاقة الافتراضية,Transaction de carte virtuelle
Card Details,Card Details,Detalles de tarjeta,معلومات البطاقة,Détails de la carte
Card Type,Card Type,Tipo de tarjeta,نوع البطاقة,Type de carte
Card Id,Card Id,Tarjeta de identificacion,بطاقة الهوية,Identifiant de carte
Account Id,Account Id,ID de la cuenta,معرف الحساب,Identifiant de compte
Card Pan,Card Pan,Bandeja,بطاقة عموم,Bac à cartes
Card Masked,Card Masked,Tarjeta enmascarada,بطاقة ملثمة,Carte masquée
Cvv,Cvv,CVV,CVV,CVC
Expiration,Expiration,Vencimiento,انتهاء الصلاحية,Expiration
Status,Status,Estado,حالة,Statut
Support Tickets,Support Tickets,Boletos de apoyo,تذاكر الدعم الفني,Billets de support
Subject,Subject,Sujeto,موضوع,Sujet
Ticket ID,Ticket ID,Identificación de entradas,معرف التذاكر,ID de billets
Payment Gateway,Payment Gateway,Pasarela,بوابة الدفع,Passerelle de paiement
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف,Taux de change
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والرسوم,Frais et frais
Conversion Amount,Conversion Amount,Cantidad de conversión,مبلغ التحويل,Montant de la conversion
Total Payable Amount,Total Payable Amount,Monto total por pagar,إجمالي المبلغ المستحق,Montant total payable
Name on Card,Name on Card,Nombre en la tarjeta,الاسم على البطاقة,Nom sur la carte
Expiration Date,Expiration Date,Fecha de caducidad,تاريخ انتهاء الصلاحية,Date d'expiration
CVC Code,CVC Code,código CVC,CVC مدونة,Le code CVC
Setup Card Api,Setup Card Api,API de tarjeta de configuración,API بطاقة الإعداد,API de carte de configuration
Add Money Logs,Add Money Logs,Agregar registros de dinero,أضف سجلات الأموال,Ajouter des journaux d'argent
Email Unverified,Email Unverified,Correo electrónico no verificado,البريد الإلكتروني غير التحقق,E-mail non vérifié
All Users,All Users,Todos los usuarios,جميع المستخدمين,Tous les utilisateurs
Email To Users,Email To Users,Correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين,E-mail aux utilisateurs
Banned Users,Banned Users,Usuarios prohibidos,المستخدمين المحظورون,Utilisateurs interdits
Add Money Balance,Add Money Balance,Agregar saldo de dinero,أضف رصيد الأموال,Ajouter un solde d'argent
My Flutterwave Balance,My Flutterwave Balance,Mi equilibrio de Flutterwave,توازن الرفرفة الخاص بي,Mon équilibre Flutterwave
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين,Total utilisateurs
Pending Add Money,Pending Add Money,Pendiente agregar dinero,في انتظار إضافة المال,En attente d'ajout d'argent
Total User,Total User,Usuario total,إجمالي المستخدم,Utilisateur total
Happy User,Happy User,Feliz usuario,مستخدم سعيد,Utilisateur heureux
Service,Service,Servicio,خدمة,Service
No Virtual Card Created!,No Virtual Card Created!,¡No se creó una tarjeta virtual!,لا توجد بطاقة افتراضية تم إنشاؤها!,Aucune carte virtuelle créée!
Announcement,Announcement,Anuncio,إعلان,Annonce
Transfer Money Preview,Transfer Money Preview,Vista previa de transferencia de dinero,تحويل أموال معاينة,Transférer un aperçu de l'argent
Available Balance,Available Balance,Saldo disponible,الرصيد المتوفر,Solde disponible
Withdraw Money,Withdraw Money,Retirar dinero,سحب المال,Retirer de l'argent
Withdraw Money Preview,Withdraw Money Preview,Retirar la vista previa del dinero,سحب معاينة المال,Retirer l'aperçu de l'argent
KYC Information,KYC Information,Información de KYC,معلومات KYC,KYC Information
Your KYC information is verified,Your KYC information is verified,Su información de KYC está verificada,تم التحقق من معلومات KYC الخاصة بك,Vos informations KYC sont vérifiées
How can we help you,How can we help you,Como podemos ayudarte,كيف يمكننا مساعدتك,Comment pouvons-nous vous aider
Transfer Money Log,Transfer Money Log,Transferir registro de dinero,تحويل سجل الأموال,Transférer le journal de l'argent
Add New,Add New,Agregar nuevo,اضف جديد,Ajouter un nouveau
Your KYC information is rejected.,Your KYC information is rejected.,Su información de KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.,Vos informations KYC sont rejetées.
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información de KYC con datos válidos.,يرجى إرسال معلومات KYC الخاصة بك مع بيانات صالحة.,Veuillez soumettre vos informations KYC avec des données valides.
KYC Verification,KYC Verification,Verificación de KYC,التحقق من KYC,Vérification KYC
Read More,Read More,Leer más,اقرأ أكثر,En savoir plus
Categories,Categories,Categorías,فئات,Catégories
Recent Posts,Recent Posts,Mensajes recientes,المشاركات الاخيرة,Messages récents
app Name,Stripcard,Panecilla,البطاقات,Carte de striple
skip,Skip,Saltar,يتخطى,Sauter
sign Out Alert,Sign Out Alert,Alerta de cierre de registro,سجل في حالة تأهب,Alerte de déconnexion
do You Want,Do you Want to Sign Out from this Device?,¿Quieres cerrar sesión en este dispositivo?,هل تريد تسجيل الخروج من هذا الجهاز؟,Voulez-vous vous déconnecter de cet appareil?
privacy And Policy,Privacy & Policy,Política de privacidad,سياسة الخصوصية,Politique de confidentialité
on Board Title1,Create Unlimited Virtual Cards for Unlimited Usage,Crear tarjetas virtuales ilimitadas para un uso ilimitado,إنشاء بطاقات افتراضية غير محدودة للاستخدام غير المحدود,Créer des cartes virtuelles illimitées pour une utilisation illimitée
signin Information,Log in and Stay Connected,Inicie sesión y manténgase conectado,تسجيل الدخول والبقاء على اتصال,Connectez-vous et restez connecté
sign In Information Subtitle,"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.","Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy y manténgase conectado con sus finanzas, en cualquier momento y en cualquier lugar.",تضمن عملية تسجيل الدخول الآمنة لدينا سرية معلوماتك. قم بتسجيل الدخول اليوم والبقاء على اتصال بأموالك ، في أي وقت وفي أي مكان.,"Notre processus de connexion sécurisé garantit la confidentialité de vos informations. Connectez-vous aujourd'hui et restez connecté à vos finances, à tout moment et n'importe où."
xxx,xxx xxxx xxx,xxx xxxx xxx,xxx xxxx xxx,xxx xxxx xxx
phone Number,Phone Number,Número de teléfono,رقم التليفون,Numéro de téléphone
forgot Password,Reset Your Forgotten Password,Restablece tu contraseña olvidada,أعد تعيين كلمة المرور المنسية,Réinitialisez votre mot de passe oublié
rich Signin,Sign In,Iniciar sesión,تسجيل الدخول,Se connecter
rich Sign Up,Sign Up,Inscribirse,اشتراك,S'inscrire
have Account,Don’t Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟,Vous n'avez pas de compte?
please Enter Your Register,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer de forma segura su contraseña.,تحكم في حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. توجهك صفحة استرداد كلمة المرور الخاصة بنا من خلال الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.,Prenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guide dans les étapes nécessaires pour réinitialiser en toute sécurité votre mot de passe.
forgot Passwordd,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر,Mot de passe oublié
forget Password,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر,Mot de passe oublié
enter Email Address,Enter Email Address,Introducir la dirección de correo electrónico,أدخل عنوان البريد الالكتروني,Entrer l'adresse e-mail
please Check Terms,Please check Terms & Privacy Policy,Verifique los términos y la política de privacidad,يرجى التحقق من الشروط وسياسة الخصوصية,Veuillez vérifier les conditions et la politique de confidentialité
o TP Verification,Please enter the code,Ingrese el código,الرجاء إدخال الرمز,Veuillez saisir le code
enter The OTP Code Send To,We sent a 6-digit code to your email,Enviamos un código de 6 dígitos a su correo electrónico,أرسلنا رمز مكون من 6 أرقام إلى بريدك الإلكتروني,Nous avons envoyé un code à 6 chiffres à votre e-mail
resend,Resend,Revender,إعادة إرسال,Revivre
sign Up Information,Register for an Account Today,Regístrese para una cuenta hoy,سجل للحصول على حساب اليوم,Inscrivez-vous à un compte aujourd'hui
