Key,en,es,ar,fr
Congratulations,Congratulations,Felicidades,تهانينا,Toutes nos félicitations
"Your password has been reset Successfully, Sign in again now.","Your password has been reset Successfully, Sign in again now.",Su contraseña se ha restablecido correctamente. Inicie sesión nuevamente ahora.,تمت إعادة تعيين كلمة المرور الخاصة بك بنجاح، قم بتسجيل الدخول مرة أخرى الآن.,"Votre mot de passe a été réinitialisé avec succès, connectez-vous à nouveau maintenant."
Okay,Okay,Bueno,تمام,D'accord
Please fill out the field,Please fill out the field,Por favor complete el campo,يرجى ملء الحقل,Veuillez remplir le champ
Your account has been create Successfully. Welcome to AdBot Pro.,Your account has been create Successfully. Welcome to AdBot Pro.,Su cuenta se ha creado con éxito. Bienvenido a AdBot Pro.,لقد تم إنشاء حسابك بنجاح. مرحبًا بك في AdBot Pro.,Votre compte a été créé avec succès. Bienvenue sur AdBot Pro.
Chat With AdBot Pro.,Chat With AdBot Pro.,Chatea con AdBot Pro.,الدردشة مع AdBot Pro.,Discutez avec AdBot Pro.
Chatting with AdBot Pro can be a fun and interactive way to explore language and learn new things.,Chatting with AdBot Pro can be a fun and interactive way to explore language and learn new things.,Chatear con AdBot Pro puede ser una forma divertida e interactiva de explorar idiomas y aprender cosas nuevas.,يمكن أن تكون الدردشة مع AdBot Pro طريقة ممتعة وتفاعلية لاستكشاف اللغة وتعلم أشياء جديدة.,Discuter avec AdBot Pro peut être un moyen amusant et interactif d'explorer une langue et d'apprendre de nouvelles choses.
Image generation in AI refers to the process of creating new images using artificial intelligence algorithms.,Image generation in AI refers to the process of creating new images using artificial intelligence algorithms.,La generación de imágenes en IA se refiere al proceso de creación de nuevas imágenes utilizando algoritmos de inteligencia artificial.,يشير توليد الصور في الذكاء الاصطناعي إلى عملية إنشاء صور جديدة باستخدام خوارزميات الذكاء الاصطناعي.,La génération d’images en IA fait référence au processus de création de nouvelles images à l’aide d’algorithmes d’intelligence artificielle.
Subscription Plan,Subscription Plan,Plan de suscripción,خطة الاشتراك,Plan d'abonnement
Free Subscription,Free Subscription,Suscripción gratuita,اشتراك مجاني,Abonnement gratuit
24 Hours Support,24 Hours Support,Soporte las 24 horas,دعم 24 ساعة,Assistance 24 heures sur 24
No Ads,No Ads,Sin anuncios,لا اعلانات,Pas de pubs
Ads Free,Ads Free,Anuncios gratis,إعلانات مجانية,Annonces gratuites
Your Subscription will be expired on,Your Subscription will be expired on,Su suscripción vencerá el,سوف تنتهي صلاحية اشتراكك في,Votre abonnement expirera le
Premium Subscription,Premium Subscription,Suscripción Premium,الاشتراك المميز,Abonnement Premium
Billing Details,Billing Details,Detalles de facturación,تفاصيل الفاتورة,Détails de la facturation
Select Payment Method,Select Payment Method,Seleccione método de pago,اختار طريقة الدفع,Sélectionnez le mode de paiement
Pay Now,Pay Now,Pagar ahora,ادفع الآن,Payez maintenant
Refresh,Refresh,Actualizar,ينعش,Rafraîchir
FOR Label,FOR,PARA,ل,POUR
days,days,días,أيام,jours
Share Chat,Share Chat,Compartir chat,مشاركة الدردشة,Partager le chat
Clear Conversation,Clear Conversation,Conversación clara,محادثة واضحة,Conversation claire
Clear Recent,Clear Recent,Borrar reciente,واضح الأخيرة,Effacer les récents
Search Images,Search Images,Buscar imágenes,البحث عن الصور,Rechercher des images
Profile,Profile,Perfil,حساب تعريفي,Profil
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور,Changer le mot de passe
About Us,About Us,Sobre nosotros,معلومات عنا,À propos de nous
Sign Out,Sign Out,Desconectar,خروج,Se déconnecter
Old Password,Old Password,Contraseña anterior,كلمة المرور القديمة,ancien mot de passe
Please Verify Your Email To Login,Please Verify Your Email To Login,Por favor verifique su correo electrónico para iniciar sesión,يرجى التحقق من البريد الإلكتروني الخاص بك لتسجيل الدخول,Veuillez vérifier votre e-mail pour vous connecter
Please Verify Your SMS To Login,Please Verify Your SMS To Login,Verifique su SMS para iniciar sesión,يرجى التحقق من الرسائل القصيرة الخاصة بك لتسجيل الدخول,Veuillez vérifier votre SMS pour vous connecter
Please accept terms and condition,Please accept terms and condition,Por favor acepte términos y condiciones.,يرجى قبول الشروط والأحكام,Veuillez accepter les termes et conditions
Remaining,Remaining,Restante,متبقي,Restant
Chat,Chat,Charlar,محادثة,Chat
Image,Image,Imagen,صورة,Image
Stripe Payment,Stripe Payment,Pago de franjas,الدفع الشريطي,Paiement Stripe
Card Number,Card Number,Número de tarjeta,رقم البطاقة,Numéro de carte
Full Name,Full Name,Nombre completo,الاسم الكامل,Nom et prénom
Manual Payment,Manual Payment,Pago manual,الدفع اليدوي,Paiement manuel
Card Holder,Card Holder,Titular de la tarjeta,حامل البطاقة,Titulaire de la carte
VALID THRU,VALID THRU,VÁLIDO HASTA,صالح من خلال,VALIDE JUSQU'AU
Write Something,Write Something,Escribe algo,أكتب شيئا,Écris quelque chose
Search Something,Search Something,buscar algo,ابحث عن شيء ما,Rechercher quelque chose
No Expiration,No Expiration,Sin caducidad,لا انتهاء الصلاحية,Pas d'expiration
With Ads,With Ads,Con anuncios,مع الإعلانات,Avec des publicités
Unlimited,Unlimited,Ilimitado,غير محدود,Illimité
Current Plan,Current Plan,Plan actual,الخطة الحالية,Plan actuel
You Are Already Using Free Package,You Are Already Using Free Package,Ya estás usando el paquete gratuito,أنت تستخدم الحزمة المجانية بالفعل,Vous utilisez déjà le package gratuit
Do You Want To Delete Your Account ?,Do You Want To Delete Your Account ?,¿Quieres eliminar tu cuenta?,هل تريد حذف حسابك؟,Voulez-vous supprimer votre compte ?
"OH No!!, No Conversation yet","OH No!!, No Conversation yet","¡¡OH No!!, Aún no hay conversación","أوه لا!!, لا توجد محادثة بعد","OH Non !!, Pas encore de conversation"
"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old.","Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old.","Contrariamente a la creencia popular, Lorem Ipsum no es simplemente un texto aleatorio. Tiene sus raíces en una pieza de literatura latina clásica del 45 a. C., por lo que tiene más de 2000 años.",خلافاً للاعتقاد الشائع، فإن لوريم إيبسوم ليس مجرد نص عشوائي. لها جذور في قطعة من الأدب اللاتيني الكلاسيكي من 45 قبل الميلاد، مما يجعلها أكثر من 2000 سنة.,"Contrairement à la croyance populaire, le Lorem Ipsum n’est pas simplement un texte aléatoire. Il a ses racines dans un morceau de littérature latine classique datant de 45 avant JC, soit plus de 2000 ans."
Success,Success,Éxito,نجاح,Succès
Alert,Alert,Alerta,يُحذًِر,Alerte
Paypal Payment,PayPal,PayPal,باي بال,Pay Pal
Type your message here...,Type your message here...,Escribe tu mensaje aquí...,اكتب رسالتك هنا...,Tapez votre message ici...
Home,Home,Hogar,بيت,Maison
About,About,Acerca de,عن,À propos
Services,Services,Servicios,خدمات,Prestations de service
Blogs,Blogs,Blogs,المدونات,Blogues
Contact,Contact,Contacto,اتصال,Contact
"We may use cookies or any other tracking technologies when you visit our website, including any other media form, mobile website, or mobile application related or connected to help customize the Site and improve your experience","We may use cookies or any other tracking technologies when you visit our website, including any other media form, mobile website, or mobile application related or connected to help customize the Site and improve your experience","Podemos utilizar cookies o cualquier otra tecnología de seguimiento cuando visita nuestro sitio web, incluido cualquier otro medio de comunicación, sitio web móvil o aplicación móvil relacionado o conectado para ayudar a personalizar el Sitio y mejorar su experiencia.",قد نستخدم ملفات تعريف الارتباط أو أي تقنيات تتبع أخرى عندما تزور موقعنا على الويب، بما في ذلك أي نموذج وسائط آخر أو موقع ويب للجوال أو تطبيق جوال مرتبط أو متصل للمساعدة في تخصيص الموقع وتحسين تجربتك,"Nous pouvons utiliser des cookies ou toute autre technologie de suivi lorsque vous visitez notre site Web, y compris toute autre forme de média, site Web mobile ou application mobile liée ou connectée pour vous aider à personnaliser le Site et à améliorer votre expérience."
Login Information,Login Information,Información Entrar,معلومات تسجيل الدخول,Informations de connexion
Login Now,Login Now,Inicia sesión ahora,تسجيل الدخول الآن,Connecte-toi maintenant
Register Information,Register Information,Información de registro,تسجيل المعلومات,Informations sur l'inscription
Please input your details and register to your account to get access to your dashboard.,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,يرجى إدخال التفاصيل الخاصة بك والتسجيل في حسابك للوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir vos coordonnées et vous inscrire à votre compte pour accéder à votre tableau de bord.
Register Now,Register Now,Regístrate ahora,سجل الان,S'inscrire maintenant
Already Have An Account?,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب؟,Vous avez déjà un compte?
Email,Email,Correo electrónico,بريد إلكتروني,E-mail
Enter your email and we'll send you a otp to reset your password.,Enter your email and we'll send you a otp to reset your password.,Ingresa tu correo electrónico y te enviaremos un otp para restablecer tu contraseña.,أدخل بريدك الإلكتروني وسنرسل لك كلمة المرور لإعادة تعيين كلمة المرور الخاصة بك.,Entrez votre email et nous vous enverrons un OTP pour réinitialiser votre mot de passe.
Send OTP,Send OTP,Enviar OTP,أرسل كلمة مرور لمرة واحدة,Envoyer OTP
Please enter the code,Please enter the code,Por favor ingresa el código,الرجاء إدخال الرمز,Veuillez entrer le code
Please check your email address to get the OTP (One time password).,Please check your email address to get the OTP (One time password).,Verifique su dirección de correo electrónico para obtener la OTP (contraseña de un solo uso).,يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة المرور لمرة واحدة).,Veuillez vérifier votre adresse e-mail pour obtenir l'OTP (mot de passe à usage unique).
Verify,Verify,Verificar,يؤكد,Vérifier
You can resend the code after,You can resend the code after,Puedes reenviar el código después,يمكنك إعادة إرسال الرمز بعد ذلك,Vous pouvez renvoyer le code après
Enter Password,Enter Password,Introducir la contraseña,أدخل كلمة المرور,Entrer le mot de passe
Enter Confirm Password,Enter Confirm Password,Ingrese Confirmar Contraseña,أدخل تأكيد كلمة المرور,Entrez Confirmer le mot de passe
Reset,Reset,Reiniciar,إعادة ضبط,Réinitialiser
Account Authorization,Account Authorization,Autorización de cuenta,ترخيص الحساب,Autorisation de compte
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,Necesita verificar su cuenta. Por favor revise su bandeja de entrada de correo para obtener el código de autorización.,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التفويض,Besoin de vérifier votre compte. Veuillez vérifier votre boîte de réception pour obtenir le code d'autorisation
Add Money,Add Money,Agregar dinero,إضافة المال,Ajouter de l'argent
My Card,My Card,Mi tarjeta,بطاقتي,Ma carte
My Profile,My Profile,Mi perfil,ملفي,Mon profil
Logout,Logout,Cerrar sesión,تسجيل خروج,Se déconnecter
Get Support,Get Support,Obtener apoyo,احصل على الدعم,Obtenir de l'aide
Need Help?,Need Help?,¿Necesitas ayuda?,تحتاج مساعدة؟,Besoin d'aide?
Please check our docs,Please check our docs,Por favor consulte nuestros documentos,يرجى التحقق من مستنداتنا,Veuillez consulter nos documents
Welcome Back,Welcome Back,Bienvenido de nuevo,مرحبًا بعودتك,Content de te revoir
Current Balance,Current Balance,Saldo actual,الرصيد الحالي,Solde actuel
Total Add Money,Total Add Money,Total agregar dinero,إجمالي إضافة المال,Total Ajouter de l'argent
Active Tickets,Active Tickets,Entradas activas,التذاكر النشطة,Billets actifs
Active Card,Active Card,Tarjeta activa,البطاقة النشطة,Carte active
Latest Transactions,Latest Transactions,Últimas transacciones,أحدث المعاملات,Dernières transactions
View More,View More,Ver más,عرض المزيد,Voir plus
Country,Country,País,دولة,Pays
Select Country,Select Country,Seleccionar país,حدد الدولة,Choisissez le pays
Enter Phone,Enter Phone,Ingresar teléfono,أدخل الهاتف,Entrez le téléphone
Phone,Phone,Teléfono,هاتف,Téléphone
Address,Address,DIRECCIÓN,عنوان,Adresse
Enter Address,Enter Address,Ingresa la direccion,أدخل العنوان,Entrer l'adresse
Zip Code,Zip Code,Código postal,الرمز البريدي,Code postal
Enter Zip Code,Enter Zip Code,Ingresa tu código postal,أدخل الرمز البريدي,Entrer le code postal
State,State,Estado,ولاية,État
Enter State,Enter State,Ingresar estado,إدخال الدولة,Entrer l'état
Enter City,Enter City,Ingrese la ciudad,أدخل المدينة,Entrez la ville
City,City,Ciudad,مدينة,Ville
Current Password,Current Password,Contraseña actual,كلمة السر الحالية,Mot de passe actuel
Enter Current Password,Enter Current Password,Introducir la contraseña actual,إدخل كلمة السر الحالية,Entrer le mot de passe actuel
Enter Confirmed Password,Enter Confirmed Password,Ingrese la contraseña confirmada,أدخل كلمة المرور المؤكدة,Entrez le mot de passe confirmé
Change,Change,Cambiar,يتغير,Changement
Transaction Log,Transaction Log,Registro de transacciones,سجل المعاملات,Journal des transactions
Transactions,Transactions,Actas,المعاملات,Transactions
Virtual Card,Virtual Card,Tarjeta virtual,بطاقة افتراضية,Carte virtuelle
Create A New Card,Create A New Card,Crear una nueva tarjeta,إنشاء بطاقة جديدة,Créer une nouvelle carte
Fund,Fund,Fondo,تمويل,Fonds
Withdrow,Withdrow,retirarse,انسحاب,Se retirer
Details,Details,Detalles,تفاصيل,Détails
Recent Transaction,Recent Transaction,Transacción reciente,المعاملة الأخيرة,Transaction récente
Card Balance,Card Balance,Balance de tarjeta,رصيد البطاقة,Solde de la carte
Card Amount,Card Amount,Monto de la tarjeta,مبلغ البطاقة,Montant de la carte
Enter Amount,Enter Amount,Ingrese el monto,أدخل المبلغ,Entrer le montant
Total Charge,Total Charge,Carga total,القيمة الاجمالية,Charge totale
Total Pay,Total Pay,Pago Total,إجمالي الأجر,Salaire total
Balance,Balance,Balance,توازن,Équilibre
Confirm,Confirm,Confirmar,يتأكد,Confirmer
Fund Card,Fund Card,Tarjeta de fondos,بطاقة الصندوق,Carte de fonds
Fund Amount,Fund Amount,Monto del fondo,مبلغ الصندوق,Montant du fonds
Withdraw Amount,Withdraw Amount,Retirar cantidad,سحب المبلغ,Montant du retrait
Amount,Amount,Cantidad,كمية,Montant
Will Get,Will Get,Obtendrá,سوف تحصل,Aura
Virtual Card Transaction,Virtual Card Transaction,Transacción con tarjeta virtual,معاملات البطاقة الافتراضية,Transaction par carte virtuelle
Card Details,Card Details,Detalles de tarjeta,معلومات البطاقة,Détails de la carte
Card Type,Card Type,Tipo de tarjeta,نوع البطاقة,Type de carte
Card Id,Card Id,Tarjeta de identificacion,بطاقة الهوية,Identifiant de la carte
Account Id,Account Id,ID de la cuenta,معرف الحساب,Identifiant de compte
Card Pan,Card Pan,Bandeja de tarjetas,عموم البطاقة,Plateau de cartes
Card Masked,Card Masked,tarjeta enmascarada,بطاقة ملثمين,Carte masquée
Cvv,Cvv,cvv,السيرة الذاتية,Cvv
Expiration,Expiration,Vencimiento,انتهاء الصلاحية,Expiration
Status,Status,Estado,حالة,Statut
Support Tickets,Support Tickets,Boletos de soporte,تذاكر الدعم الفني,Billets d'assistance
Subject,Subject,Sujeto,موضوع,Sujet
Ticket ID,Ticket ID,Identificación de entradas,معرف التذكرة,ID de billets
Payment Gateway,Payment Gateway,Pasarela de pago,بوابة الدفع,Passerelle de paiement
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف,Taux de change
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف,Frais et charges
Conversion Amount,Conversion Amount,Monto de conversión,مبلغ التحويل,Montant de la conversion
Total Payable Amount,Total Payable Amount,Monto total a pagar,إجمالي المبلغ المستحق,Montant total à payer
Name on Card,Name on Card,Nombre en la tarjeta,الاسم على البطاقة,Nom sur la carte
Expiration Date,Expiration Date,Fecha de caducidad,تاريخ انتهاء الصلاحية,Date d'expiration
CVC Code,CVC Code,código CVC,CVC مدونة,Le code CVC
Setup Card Api,Setup Card Api,API de tarjeta de configuración,واجهة برمجة تطبيقات بطاقة الإعداد,API de configuration de la carte
Add Money Logs,Add Money Logs,Agregar registros de dinero,إضافة سجلات الأموال,Ajouter des journaux d'argent
Email Unverified,Email Unverified,Correo electrónico no verificado,لم يتم التحقق من البريد الإلكتروني,E-mail non vérifié
All Users,All Users,Todos los usuarios,جميع المستخدمين,Tous les utilisateurs
Email To Users,Email To Users,Enviar correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين,Envoyer un e-mail aux utilisateurs
Banned Users,Banned Users,Usuarios prohibidos,المستخدمون المحظورون,Utilisateurs bannis
Add Money Balance,Add Money Balance,Agregar saldo de dinero,إضافة رصيد المال,Ajouter un solde d'argent
My Flutterwave Balance,My Flutterwave Balance,Mi saldo de Flutterwave,رصيد Flutterwave الخاص بي,Mon solde Flutterwave
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين,Nombre total d'utilisateurs
Pending Add Money,Pending Add Money,Pendiente Agregar dinero,في انتظار إضافة المال,En attente d'ajouter de l'argent
Total User,Total User,Usuario total,إجمالي المستخدم,Utilisateur total
Happy User,Happy User,Usuario feliz,مستخدم سعيد,Utilisateur satisfait
Service,Service,Servicio,خدمة,Service
No Virtual Card Created!,No Virtual Card Created!,¡No se ha creado ninguna tarjeta virtual!,لم يتم إنشاء بطاقة افتراضية!,Aucune carte virtuelle créée !
Announcement,Announcement,Anuncio,إعلان,Annonce
Transfer Money Preview,Transfer Money Preview,Vista previa de transferencia de dinero,معاينة تحويل الأموال,Aperçu du transfert d'argent
Available Balance,Available Balance,Saldo disponible,الرصيد المتوفر,Solde disponible
Withdraw Money,Withdraw Money,Retirar dinero,سحب الأموال,Retirer de l'argent
Withdraw Money Preview,Withdraw Money Preview,Vista previa de retiro de dinero,سحب الأموال معاينة,Aperçu du retrait d'argent
KYC Information,KYC Information,Información KYC,معلومات KYC,Informations KYC
Your KYC information is verified,Your KYC information is verified,Su información KYC está verificada,تم التحقق من معلومات KYC الخاصة بك,Vos informations KYC sont vérifiées
How can we help you,How can we help you,Como podemos ayudarte,كيف يمكننا مساعدتك,Comment pouvons-nous vous aider
Transfer Money Log,Transfer Money Log,Registro de transferencia de dinero,سجل تحويل الأموال,Journal de transfert d'argent
Add New,Add New,Agregar nuevo,اضف جديد,Ajouter un nouveau
Your KYC information is rejected.,Your KYC information is rejected.,Su información KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.,Vos informations KYC sont rejetées.
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información KYC con datos válidos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صالحة.,Veuillez soumettre vos informations KYC avec des données valides.
KYC Verification,KYC Verification,Verificación KYC,التحقق من KYC,Vérification KYC
Read More,Read More,Leer más,اقرأ أكثر,En savoir plus
Categories,Categories,Categorías,فئات,Catégories
Recent Posts,Recent Posts,Mensajes recientes,المشاركات الاخيرة,Messages récents
app Name,Stripcard,Tarjeta de tira,بطاقة تعريفية,Carte à strip
skip,Skip,Saltar,يتخطى,Sauter
sign Out Alert,Sign Out Alert,Alerta de cierre de sesión,تنبيه تسجيل الخروج,Alerte de déconnexion
do You Want,Do you Want to Sign Out from this Device?,¿Quieres cerrar sesión en este dispositivo?,هل تريد تسجيل الخروج من هذا الجهاز؟,Voulez-vous vous déconnecter de cet appareil ?
privacy And Policy,Privacy & Policy,Política de privacidad,سياسة الخصوصية,Politique de confidentialité
on Board Title1,Create Unlimited Virtual Cards for Unlimited Usage,Cree tarjetas virtuales ilimitadas para uso ilimitado,إنشاء بطاقات افتراضية غير محدودة لاستخدام غير محدود,Créez des cartes virtuelles illimitées pour une utilisation illimitée
signin Information,Log in and Stay Connected,Inicie sesión y manténgase conectado,تسجيل الدخول والبقاء على اتصال,Connectez-vous et restez connecté
sign In Information Subtitle,"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.","Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy y manténgase conectado con sus finanzas, en cualquier momento y en cualquier lugar.",تضمن عملية تسجيل الدخول الآمنة لدينا سرية معلوماتك. قم بتسجيل الدخول اليوم وابق على اتصال بأموالك في أي وقت وفي أي مكان.,"Notre processus de connexion sécurisé garantit la confidentialité de vos informations. Connectez-vous aujourd'hui et restez connecté à vos finances, à tout moment et en tout lieu."
xxx,xxx xxxx xxx,xxx xxxx xxx,xxx xxx xxx,xxx xxxx xxx
phone Number,Phone Number,Número de teléfono,رقم التليفون,Numéro de téléphone
forgot Password,Reset Your Forgotten Password,Restablecer su contraseña olvidada,إعادة تعيين كلمة المرور المنسية,Réinitialisez votre mot de passe oublié
rich Signin,Sign In,Iniciar sesión,تسجيل الدخول,Se connecter
rich Sign Up,Sign Up,Inscribirse,اشتراك,S'inscrire
have Account,Don’t Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟,Vous n'avez pas de compte ?
please Enter Your Register,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer su contraseña de forma segura.,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا إلى الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.,Prenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guide à travers les étapes nécessaires pour réinitialiser votre mot de passe en toute sécurité.
forgot Passwordd,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر,Mot de passe oublié
forget Password,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر,Mot de passe oublié
enter Email Address,Enter Email Address,Introducir la dirección de correo electrónico,أدخل عنوان البريد الالكتروني,Entrer l'adresse e-mail
please Check Terms,Please check Terms & Privacy Policy,Por favor consulte Términos y Política de Privacidad,يرجى التحقق من الشروط وسياسة الخصوصية,Veuillez consulter les conditions et la politique de confidentialité
o TP Verification,Please enter the code,Por favor ingresa el código,الرجاء إدخال الرمز,Veuillez entrer le code
enter The OTP Code Send To,We sent a 6-digit code to your email,Le enviamos un código de 6 dígitos a su correo electrónico,لقد أرسلنا رمزًا مكونًا من 6 أرقام إلى بريدك الإلكتروني,Nous avons envoyé un code à 6 chiffres à votre email
resend,Resend,Reenviar,إعادة إرسال,Renvoyer
sign Up Information,Register for an Account Today,Regístrese para obtener una cuenta hoy,سجل للحصول على حساب اليوم,Créez un compte aujourd'hui
